model,dataset,phase,metric,root_mean_squared_error,mean_absolute_error,mean_squared_error,max_error,r2
TransE,FB15k237,training,results_min_hits_at_1,0.00862410735530676,0.004884974360429153,7.68775560992178e-05,0.050011620865777304,0.9973768838736925
TransE,FB15k237,testing,results_min_hits_at_1,0.23161271336502443,0.22831835309426426,0.05364444899230897,0.2813946103596178,-496.24203135064687
TransE,FB15k237,training,results_min_hits_at_10,0.01614083811200684,0.00869248989316785,0.00026433829097564655,0.08528790014203425,0.9922301110003622
TransE,FB15k237,testing,results_min_hits_at_10,0.20851190385431287,0.2057530513181019,0.04347721404895021,0.2652219205987717,-207.99758333323595
TransE,FB15k237,training,results_min_inverse_harmonic_mean_rank,0.009143180705826183,0.005433447264234894,8.591514192331813e-05,0.04409278802573682,0.9964242221433359
TransE,FB15k237,testing,results_min_inverse_harmonic_mean_rank,0.24917111554918528,0.24626396254758645,0.062086244824025444,0.3082439172267914,-703.2935805314128
TransE,FB15k,training,results_min_hits_at_1,0.00789197835949694,0.004564037509820099,6.700862488512237e-05,0.04581453193607807,0.9962235084001455
TransE,FB15k,testing,results_min_hits_at_1,0.26481294311683684,0.2569948421710509,0.07012589484220105,0.4140951765236399,-14.32844567987448
TransE,FB15k,training,results_min_hits_at_10,0.01470671472691841,0.008382773261946651,0.0002207295408522713,0.07626445006985584,0.9925398059551453
TransE,FB15k,testing,results_min_hits_at_10,0.22510966341692343,0.22244747459391975,0.050674360563680555,0.28073710235149396,-23.203390734109032
TransE,FB15k,training,results_min_inverse_harmonic_mean_rank,0.010056311656208232,0.005823501750276796,0.00010430543896826762,0.05217829249799251,0.9932415612556207
TransE,FB15k,testing,results_min_inverse_harmonic_mean_rank,0.264087056779312,0.2573579176086368,0.06974197355835957,0.3851922458410263,-15.523896544713892
TransE,Kinships,training,results_min_hits_at_1,0.00870422315159005,0.005171995843576956,7.790741082775852e-05,0.04548113431323797,0.9961434075376194
TransE,Kinships,testing,results_min_hits_at_1,0.2028994497929221,0.2027690187489176,0.04116818672627051,0.2174865279334285,-1322.653365880461
TransE,Kinships,training,results_min_hits_at_10,0.011682971356375173,0.006820767199256178,0.0001592061874306057,0.06385068506875247,0.9939752268872055
TransE,Kinships,testing,results_min_hits_at_10,0.29308588535929014,0.28498570219724495,0.08589933619683895,0.34090336531493304,-17.34478064686626
TransE,Kinships,training,results_min_inverse_harmonic_mean_rank,0.008378654672736503,0.005082565788804687,7.65600570688364e-05,0.04635402802377937,0.9967479818997319
TransE,Kinships,testing,results_min_inverse_harmonic_mean_rank,0.030663221670933567,0.02041508839889006,0.0009402331632408098,0.1170919540524483,-0.4540760860444162
TransE,WN18RR,training,results_min_hits_at_1,0.007586420249674747,0.0048738366870178735,6.118747136076003e-05,0.04043874608711928,0.9971588626769161
TransE,WN18RR,testing,results_min_hits_at_1,0.3363191885977692,0.33616354564891665,0.11311059661906185,0.3611770240206549,-1247.1437109828182
TransE,WN18RR,training,results_min_hits_at_10,0.013552938127693521,0.007440223033411169,0.0001927517048546526,0.0780574878879917,0.991669739224964
TransE,WN18RR,testing,results_min_hits_at_10,0.36532872379854997,0.359290169933847,0.1334650764322772,0.4627531831967884,-29.889493554171978
TransE,WN18RR,training,results_min_inverse_harmonic_mean_rank,0.00868937100359127,0.00547703223115446,7.942212267415539e-05,0.04167233515530824,0.9947834290744217
TransE,WN18RR,testing,results_min_inverse_harmonic_mean_rank,0.3609080198972393,0.3598436307726484,0.13025459882614607,0.4058865857124329,-219.17093263132057
TransE,WN18,training,results_min_hits_at_1,0.006876223989087634,0.004201549804582257,5.518629089451002e-05,0.03444322242021372,0.9977053423212996
TransE,WN18,testing,results_min_hits_at_1,0.20105200445690855,0.1844108511911897,0.040421908496140774,0.34552592281198347,-25.438339181538765
TransE,WN18,training,results_min_hits_at_10,0.013964334311095665,0.008026919408635143,0.00020400655581747688,0.07575474289131118,0.993334890746217
