dataset,c_split,model,property,value,results_hits_at_10,results_hits_at_5,results_hits_at_3,results_hits_at_1,results_inverse_harmonic_mean_rank,results_arithmetic_mean_rank,results_min_hits_at_10,results_min_hits_at_5,results_min_hits_at_3,results_min_hits_at_1,training_gpu_power,training_duration,prediction_gpu_power,prediction_duration,directed,order,size,density,diameter,transitivity_undirected,connected_components_weak,connected_components_weak_relative_nodes,connected_components_weak_relative_arcs,girth,vertex_connectivity,edge_connectivity,clique_number,average_degree,max_degree,degree_deciles,average_indegree,indegree_deciles,average_outdegree,outdegree_deciles,radius,average_path_length,assortativity_degree,mean_eccentricity,eccentricity_deciles,centralization
YAGO310,2,RotatE,baseline,0.0,0.46442607897153354,0.3994903581267218,0.34555555555555556,0.198613406795225,0.29285070300102234,6086.125,0.46442607897153354,0.3994903581267218,0.34555555555555556,0.198613406795225,253.86205134820443,8695.240736246109,98.4574032983714,0.08212947845458984,True,123143,871200,5.745157435714465e-05,38,0.00026518899612350006,31,0.9993747107021917,0.9999253902662993,3,0,0,16,14.149403538975013,58226,"[1.0, 2.0, 4.0, 5.0, 7.0, 8.0, 10.0, 12.0, 14.0, 19.0, 58226.0]",7.074701769487507,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 8.0, 58226.0]",7.074701769487507,"[0.0, 1.0, 1.0, 2.0, 3.0, 5.0, 8.0, 10.0, 12.0, 16.0, 202.0]",0,7.1723402384437565,-0.06674250230100152,11.68976718124457,"[0.0, 1.0, 12.0, 13.0, 13.0, 13.0, 14.0, 14.0, 14.0, 15.0, 38.0]",0.0667770300468417
YAGO310,2,RotatE,pagerank,0.03,0.012398119122257053,0.00847962382445141,0.00664576802507837,0.0038557993730407524,0.007283172104507686,29479.720703125,0.008330213403219768,0.005990265818045676,0.005007487832272557,0.0027611381505054287,279.27201793307995,2533.3848626613617,113.46315487908912,0.08663678169250488,True,123143,254104,1.6756972968833662e-05,45,0.023584930050103325,23936,0.7804503707072266,0.9848054339955294,3,0,0,8,4.126974330656229,71,"[0.0, 0.0, 1.0, 1.0, 2.0, 3.0, 3.0, 5.0, 6.0, 9.0, 71.0]",2.0634871653281146,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 6.0, 71.0]",2.0634871653281146,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 4.0, 5.0, 37.0]",0,13.309039207000785,-0.06024913969742398,2.2106818901602203,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 4.0, 45.0]",0.00026265934764378387
YAGO310,2,RotatE,betweenness,-0.1,0.47055594651653765,0.405540699038236,0.35059347877081865,0.20209711470795214,0.29719939827919006,6363.23681640625,0.4717839719266212,0.4068500185444067,0.3466092265555904,0.1756440615103706,267.56876377570535,8493.71900010109,92.17723831876918,0.0936121940612793,True,123143,850873,5.611110356747789e-05,37,0.000263192396600226,12334,0.8998319027472126,0.9999976494729531,3,0,0,16,13.819267031012725,57095,"[0.0, 0.0, 3.0, 5.0, 7.0, 8.0, 10.0, 12.0, 14.0, 19.0, 57095.0]",6.909633515506362,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 8.0, 57095.0]",6.909633515506362,"[0.0, 0.0, 1.0, 2.0, 3.0, 5.0, 8.0, 10.0, 12.0, 16.0, 202.0]",0,7.09367842395992,-0.06824718623619883,10.688711498014504,"[0.0, 0.0, 1.0, 12.0, 13.0, 13.0, 14.0, 14.0, 14.0, 15.0, 37.0]",0.06704579622378007
FB15k,1,RotatE,harmonic_centrality,0.05,0.8632980853018064,0.8209886719577966,0.7844728103436094,0.6312969548526883,0.7200601696968079,92.7733154296875,0.8443215288718405,0.7976402493321461,0.754315364066032,0.568669086923762,257.02082905142464,12091.799997091293,89.25834185485002,0.08965802192687988,True,14951,339100,0.0015171075010027182,12,0.038963779099726654,904,0.938331884154906,0.9998319079917428,3,0,0,26,45.36151427998127,3720,"[0.0, 3.0, 8.0, 14.0, 21.0, 28.0, 38.0, 49.0, 61.0, 85.0, 3720.0]",22.680757139990636,"[0.0, 1.0, 4.0, 6.0, 9.0, 13.0, 18.0, 23.0, 30.0, 42.0, 2494.0]",22.680757139990636,"[0.0, 1.0, 4.0, 7.0, 11.0, 15.0, 20.0, 25.0, 31.0, 44.0, 1398.0]",0,3.930536655826229,-0.11897815558230877,7.039261587853655,"[0.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 12.0]",0.009453195880416885
FB15k,2,RotatE,degree,0.1,0.7499381570810142,0.72430426716141,0.7028756957328386,0.5833024118738405,0.650406539440155,607.8271484375,0.7484810870843405,0.7228718886783825,0.7013784543019533,0.5771542431567257,268.7439803605377,4671.574165821075,112.85236649864851,0.1704998016357422,True,14951,130703,0.0005847552394678805,20,0.10436300926923905,2181,0.8509129824092034,0.998339747366166,3,0,0,17,17.484181660089625,271,"[0.0, 0.0, 3.0, 6.0, 9.0, 13.0, 18.0, 23.0, 29.0, 40.0, 271.0]",8.742090830044813,"[0.0, 0.0, 1.0, 3.0, 5.0, 7.0, 9.0, 11.0, 15.0, 20.0, 139.0]",8.742090830044813,"[0.0, 0.0, 1.0, 3.0, 5.0, 7.0, 9.0, 11.0, 15.0, 20.0, 135.0]",0,5.39054234921796,0.1536743133037891,10.68871647381446,"[0.0, 0.0, 11.0, 12.0, 12.0, 13.0, 13.0, 13.0, 13.0, 14.0, 20.0]",0.001488686462649498
WN18,1,RotatE,degree,0.1,0.7619284294234593,0.7563618290258449,0.7517892644135189,0.7320079522862823,0.7435583472251892,5752.7353515625,0.6857390968737939,0.6807217290621381,0.6766692396758008,0.6590119644924739,281.333255559984,2762.890279531479,0.0,0.07898306846618652,True,40943,38667,2.306703438877298e-05,52,0.051775837942293595,18923,0.19624844295728208,0.3694106085292368,3,0,0,4,1.8888210438902866,11,"[0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 4.0, 5.0, 11.0]",0.9444105219451433,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 6.0]",0.9444105219451433,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 6.0]",0,11.659699682562328,-0.0022768541678251583,3.5335466380089393,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 3.0, 5.0, 10.0, 52.0]",0.0002614341515311754
YAGO310,1,RotatE,degree,0.03,0.010302153648344584,0.0070073931211828994,0.00544840887174542,0.0030697524911603986,0.006063302047550678,29707.796875,0.00697745744517712,0.004907222818586106,0.003948780861831007,0.0021469099831314216,272.04777096213616,2482.3312406539917,108.8341994365415,0.08121705055236816,True,123143,249124,1.642856520907863e-05,48,0.01762673415133787,23088,0.7889120778282159,0.9855895056277195,3,0,0,8,4.046092753952721,64,"[0.0, 0.0, 1.0, 1.0, 2.0, 3.0, 3.0, 4.0, 6.0, 9.0, 64.0]",2.0230463769763607,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 6.0, 64.0]",2.0230463769763607,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 3.0, 5.0, 44.0]",0,13.00981325801103,-0.0749709115438949,2.382538999374711,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 3.0, 4.0, 48.0]",0.00024047457479493156
WN18,0,RotatE,betweenness,-0.2,0.8735151609878087,0.8696076899030947,0.8666380118787121,0.8583541731791184,0.863826334476471,5809.1591796875,0.7233296994237658,0.7193583553963557,0.7170222706743498,0.7108705809064009,247.73228488536685,7439.532781600952,0.0,0.08086276054382324,True,40943,104833,6.253876473681014e-05,22,0.007904415128172287,8271,0.7980118701609554,1.0,3,0,0,4,5.120924211708961,871,"[0.0, 0.0, 0.0, 3.0, 3.0, 4.0, 4.0, 5.0, 6.0, 9.0, 871.0]",2.5604621058544805,"[0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0, 496.0]",2.5604621058544805,"[0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0, 375.0]",0,8.36317797797978,-0.08109882949002928,13.073126053293603,"[0.0, 0.0, 0.0, 15.0, 16.0, 16.0, 16.0, 17.0, 17.0, 18.0, 22.0]",0.008246150301037786
YAGO310,0,RotatE,pagerank,-0.1,0.473075533068305,0.40684857246114925,0.35214368592243167,0.20523843037300515,0.2998690903186798,17540.318359375,0.3011044638748274,0.2743212149102623,0.2403129314312011,0.10814542107685228,253.00485302096914,8477.877774715424,0.0,0.08091378211975098,True,123143,849195,5.60004472982271e-05,38,0.0002938122072513263,12342,0.8994421120161114,0.9999281672642915,3,0,0,17,13.792014162396564,55049,"[0.0, 0.2000000000007276, 3.0, 5.0, 7.0, 8.0, 10.0, 12.0, 14.0, 19.0, 55049.0]",6.896007081198282,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 8.0, 55049.0]",6.896007081198282,"[0.0, 0.0, 1.0, 2.0, 3.0, 5.0, 8.0, 10.0, 12.0, 16.0, 206.0]",0,7.188286902679421,-0.06024440363316394,10.971455949587066,"[0.0, 0.0, 1.0, 13.0, 13.0, 14.0, 14.0, 14.0, 15.0, 15.0, 38.0]",0.06476915085870391
FB15k237,0,RotatE,harmonic_centrality,0.01,0.5646237149807738,0.4741426665620341,0.39435376285019225,0.21205760025111825,0.33216071128845215,240.31610107421875,0.5628981384130125,0.4707774135691756,0.3873770795967592,0.2001051394644072,258.08740411106027,9022.369142532349,103.381838506891,0.07549500465393066,True,14505,202900,0.0009644429056454467,24,0.035578724903474496,342,0.9755946225439504,0.9998965007392804,3,0,0,21,27.976559806963117,1497,"[0.0, 3.0, 6.0, 9.0, 13.0, 17.0, 23.0, 29.0, 37.0, 54.0, 1497.0]",13.988279903481558,"[0.0, 1.0, 2.0, 3.0, 5.0, 7.0, 9.0, 13.0, 18.0, 27.0, 1307.0]",13.988279903481558,"[0.0, 1.0, 3.0, 5.0, 7.0, 9.0, 12.0, 15.0, 20.0, 29.0, 575.0]",0,4.828095523864812,-0.16241006849534784,12.303274732850742,"[0.0, 1.0, 13.0, 13.0, 14.0, 14.0, 14.0, 14.0, 15.0, 15.0, 24.0]",0.0064136754058671365
