dataset,c_split,model,property,value,results_hits_at_10,results_hits_at_5,results_hits_at_3,results_hits_at_1,results_inverse_harmonic_mean_rank,results_arithmetic_mean_rank,results_min_hits_at_10,results_min_hits_at_5,results_min_hits_at_3,results_min_hits_at_1,training_gpu_power,training_duration,prediction_gpu_power,prediction_duration,directed,order,size,density,diameter,transitivity_undirected,connected_components_weak,connected_components_weak_relative_nodes,connected_components_weak_relative_arcs,girth,vertex_connectivity,edge_connectivity,clique_number,average_degree,max_degree,degree_deciles,average_indegree,indegree_deciles,average_outdegree,outdegree_deciles,radius,average_path_length,assortativity_degree,mean_eccentricity,eccentricity_deciles,centralization
YAGO310,2,RotatE,baseline,0.0,0.5614646464646464,0.4926675849403122,0.4327823691460055,0.2781864095500459,0.37728235125541687,3289.599365234375,0.5614646464646464,0.4926675849403122,0.4327823691460055,0.2781864095500459,268.7865605344375,17570.35527920723,86.88644651541804,0.11382126808166504,True,123143,871200,5.745157435714465e-05,38,0.00026518899612350006,31,0.9993747107021917,0.9999253902662993,3,0,0,16,14.149403538975013,58226,"[1.0, 2.0, 4.0, 5.0, 7.0, 8.0, 10.0, 12.0, 14.0, 19.0, 58226.0]",7.074701769487507,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 8.0, 58226.0]",7.074701769487507,"[0.0, 1.0, 1.0, 2.0, 3.0, 5.0, 8.0, 10.0, 12.0, 16.0, 202.0]",0,7.1723402384437565,-0.06674250230100152,11.68976718124457,"[0.0, 1.0, 12.0, 13.0, 13.0, 13.0, 14.0, 14.0, 14.0, 15.0, 38.0]",0.0667770300468417
YAGO310,2,RotatE,pagerank,0.03,0.3553918495297806,0.3434012539184953,0.32699059561128524,0.25757053291536053,0.2957207262516022,21161.318359375,0.32300636465743165,0.31767128416323476,0.30938786971171844,0.24489891426432048,252.9448123196793,5257.181640625,106.94431355244178,0.08414244651794434,True,123143,254104,1.6756972968833662e-05,45,0.023584930050103325,23936,0.7804503707072266,0.9848054339955294,3,0,0,8,4.126974330656229,71,"[0.0, 0.0, 1.0, 1.0, 2.0, 3.0, 3.0, 5.0, 6.0, 9.0, 71.0]",2.0634871653281146,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 6.0, 71.0]",2.0634871653281146,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 4.0, 5.0, 37.0]",0,13.309039207000785,-0.06024913969742398,2.2106818901602203,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 4.0, 45.0]",0.00026265934764378387
WN18,1,TransE,degree,0.01,0.838287037037037,0.8138888888888889,0.7797222222222222,0.3324537037037037,0.5586736798286438,1305.09228515625,0.8364531069085295,0.814936318023929,0.7850250868390583,0.35700501736781165,99.11321201595557,2746.4939477443695,92.59131530941652,0.0895986557006836,True,40943,87267,5.2059660434092415e-05,42,0.0375473036896878,4164,0.8558727987690203,0.9641788992402627,3,0,0,4,4.262853234985223,34,"[0.0, 1.0, 2.0, 2.0, 3.0, 3.0, 4.0, 5.0, 6.0, 9.0, 34.0]",2.1314266174926115,"[0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 5.0, 22.0]",2.1314266174926115,"[0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 4.0, 17.0]",0,13.347301202506603,-0.144256605199104,23.99338104193635,"[0.0, 0.0, 24.0, 27.0, 28.0, 29.0, 30.0, 30.0, 31.0, 32.0, 42.0]",0.00033756144188694305
WN18,0,TransE,pagerank,0.1,0.8339250493096647,0.8187376725838265,0.7886587771203156,0.3952662721893491,0.592064619064331,2146.099365234375,0.8765208387263784,0.8604711364224695,0.8263008024851152,0.3593062386746052,97.86159092088566,1490.5199105739594,92.13705768983176,0.08971643447875977,True,40943,40627,2.4236284328049237e-05,176,0.05319022770398482,18256,0.26339056737415434,0.485982228567209,3,0,0,4,1.9845639059179836,11,"[0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 3.0, 4.0, 5.0, 11.0]",0.9922819529589918,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 3.0, 6.0]",0.9922819529589918,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 7.0]",0,51.4322630137201,0.04198754014303154,12.17656253816281,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 3.0, 6.0, 26.0, 176.0]",0.00024653841819495846
YAGO310,2,RotatE,betweenness,-0.1,0.5678676988036594,0.4984189537884119,0.4384377199155524,0.2825475017593244,0.38220080733299255,3158.43017578125,0.5619240535220108,0.5060483295769023,0.45303985620952325,0.30074748224016434,254.96759394548351,17195.097249269485,112.04103013762128,0.082855224609375,True,123143,850873,5.611110356747789e-05,37,0.000263192396600226,12334,0.8998319027472126,0.9999976494729531,3,0,0,16,13.819267031012725,57095,"[0.0, 0.0, 3.0, 5.0, 7.0, 8.0, 10.0, 12.0, 14.0, 19.0, 57095.0]",6.909633515506362,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 8.0, 57095.0]",6.909633515506362,"[0.0, 0.0, 1.0, 2.0, 3.0, 5.0, 8.0, 10.0, 12.0, 16.0, 202.0]",0,7.09367842395992,-0.06824718623619883,10.688711498014504,"[0.0, 0.0, 1.0, 12.0, 13.0, 13.0, 14.0, 14.0, 14.0, 15.0, 37.0]",0.06704579622378007
FB15k,1,RotatE,harmonic_centrality,0.05,0.8632980853018064,0.8209886719577966,0.7844728103436094,0.6312969548526883,0.7200601696968079,92.7733154296875,0.8443215288718405,0.7976402493321461,0.754315364066032,0.568669086923762,257.02082905142464,12091.799997091293,89.25834185485002,0.08965802192687988,True,14951,339100,0.0015171075010027182,12,0.038963779099726654,904,0.938331884154906,0.9998319079917428,3,0,0,26,45.36151427998127,3720,"[0.0, 3.0, 8.0, 14.0, 21.0, 28.0, 38.0, 49.0, 61.0, 85.0, 3720.0]",22.680757139990636,"[0.0, 1.0, 4.0, 6.0, 9.0, 13.0, 18.0, 23.0, 30.0, 42.0, 2494.0]",22.680757139990636,"[0.0, 1.0, 4.0, 7.0, 11.0, 15.0, 20.0, 25.0, 31.0, 44.0, 1398.0]",0,3.930536655826229,-0.11897815558230877,7.039261587853655,"[0.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 12.0]",0.009453195880416885
FB15k,1,TransE,pagerank,0.05,0.9026659742058339,0.8633904613520298,0.8198736258980351,0.547238812429672,0.6928611993789673,37.755332946777344,0.9119744873465468,0.8790892257046842,0.8379740758521363,0.5368630409436939,95.75741009281356,2673.224684238434,64.47768498027031,0.11461806297302246,True,14951,183349,0.00082028942259318,15,0.10215466961285669,1425,0.9021470135776871,0.9989855412355672,3,0,0,20,24.526653735536083,294,"[0.0, 1.0, 5.0, 8.0, 13.0, 18.0, 24.0, 31.0, 40.0, 56.0, 294.0]",12.263326867768042,"[0.0, 0.0, 2.0, 4.0, 6.0, 9.0, 12.0, 15.0, 20.0, 28.0, 209.0]",12.263326867768042,"[0.0, 0.0, 2.0, 4.0, 6.0, 9.0, 12.0, 16.0, 20.0, 28.0, 132.0]",0,4.8884507157383865,0.0971406976141007,8.465320045481908,"[0.0, 0.0, 9.0, 9.0, 9.0, 9.0, 10.0, 10.0, 10.0, 11.0, 15.0]",0.0007832272039632284
FB15k,2,RotatE,degree,0.1,0.7499381570810142,0.72430426716141,0.7028756957328386,0.5833024118738405,0.650406539440155,607.8271484375,0.7484810870843405,0.7228718886783825,0.7013784543019533,0.5771542431567257,268.7439803605377,4671.574165821075,112.85236649864851,0.1704998016357422,True,14951,130703,0.0005847552394678805,20,0.10436300926923905,2181,0.8509129824092034,0.998339747366166,3,0,0,17,17.484181660089625,271,"[0.0, 0.0, 3.0, 6.0, 9.0, 13.0, 18.0, 23.0, 29.0, 40.0, 271.0]",8.742090830044813,"[0.0, 0.0, 1.0, 3.0, 5.0, 7.0, 9.0, 11.0, 15.0, 20.0, 139.0]",8.742090830044813,"[0.0, 0.0, 1.0, 3.0, 5.0, 7.0, 9.0, 11.0, 15.0, 20.0, 135.0]",0,5.39054234921796,0.1536743133037891,10.68871647381446,"[0.0, 0.0, 11.0, 12.0, 12.0, 13.0, 13.0, 13.0, 13.0, 14.0, 20.0]",0.001488686462649498
WN18,1,RotatE,degree,0.1,0.7619284294234593,0.7563618290258449,0.7517892644135189,0.7320079522862823,0.7435583472251892,5752.7353515625,0.6857390968737939,0.6807217290621381,0.6766692396758008,0.6590119644924739,281.333255559984,2762.890279531479,0.0,0.07898306846618652,True,40943,38667,2.306703438877298e-05,52,0.051775837942293595,18923,0.19624844295728208,0.3694106085292368,3,0,0,4,1.8888210438902866,11,"[0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 4.0, 5.0, 11.0]",0.9444105219451433,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 6.0]",0.9444105219451433,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 6.0]",0,11.659699682562328,-0.0022768541678251583,3.5335466380089393,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 3.0, 5.0, 10.0, 52.0]",0.0002614341515311754
WN18RR,2,TransE,degree,-0.15,0.5083082652915055,0.40731986821372296,0.3040395358831113,0.037602062741727546,0.19944234192371368,8776.369140625,0.38079231692677074,0.32016806722689073,0.2517406962785114,0.021848739495798318,203.23514691338386,6840.878074645996,105.00944955281565,0.08989930152893066,True,40559,64800,3.939229070572907e-05,58,0.010065743331252361,9409,0.7639734707463202,0.9949074074074075,3,0,0,4,3.1953450528859193,401,"[0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0, 6.0, 401.0]",1.5976725264429597,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 396.0]",1.5976725264429597,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 284.0]",0,17.515154918984347,-0.0546765574587898,29.7991814393846,"[0.0, 0.0, 0.0, 35.0, 37.0, 38.0, 40.0, 41.0, 42.0, 43.0, 58.0]",0.006149164602755846
