dataset,c_split,model,property,value,results_hits_at_10,results_hits_at_5,results_hits_at_3,results_hits_at_1,results_inverse_harmonic_mean_rank,results_arithmetic_mean_rank,results_min_hits_at_10,results_min_hits_at_5,results_min_hits_at_3,results_min_hits_at_1,results_min_arithmetic_mean_rank,results_min_inverse_harmonic_mean_rank,training_gpu_power,training_duration,prediction_gpu_power,prediction_duration,directed,order,size,density,diameter,transitivity_undirected,connected_components_weak,connected_components_weak_relative_nodes,connected_components_weak_relative_arcs,girth,vertex_connectivity,edge_connectivity,clique_number,average_degree,max_degree,degree_deciles,average_indegree,indegree_deciles,average_outdegree,outdegree_deciles,radius,average_path_length,assortativity_degree,mean_eccentricity,eccentricity_deciles,centralization
FB15k237,0,TransE,baseline,0.0,0.5913473942208463,0.4921955624355005,0.40808823529411764,0.20830108359133126,0.3388739228248596,127.03128051757812,0.5913473942208463,0.4921955624355005,0.40808823529411764,0.20830108359133126,127.03128051757812,0.3388739228248596,160.5164639213541,5588.397602319717,137.25935407306642,0.11544322967529297,True,14505,248063,0.0011791158230809583,16,0.015592121019608345,7,0.9991726990692864,0.9999677501279917,3,0,0,21,34.20379179593244,6879,"[1.0, 5.0, 8.0, 11.0, 16.0, 21.0, 27.0, 33.0, 42.0, 60.0, 6879.0]",17.10189589796622,"[0.0, 1.0, 2.0, 4.0, 5.0, 7.0, 10.0, 14.0, 19.0, 28.0, 5690.0]",17.10189589796622,"[0.0, 2.0, 4.0, 6.0, 9.0, 12.0, 15.0, 19.0, 24.0, 35.0, 1189.0]",0,4.024520278741142,-0.12578313260858065,7.8641158221303,"[0.0, 7.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 10.0, 16.0]",0.02655206873530926
FB15k237,0,TransE,betweenness,-0.05,0.5917902680197762,0.49260018214936246,0.4074128285193859,0.20634920634920634,0.3378409743309021,125.35841369628906,0.6196170137663255,0.5119572890928344,0.4072096717260854,0.16590187080833038,113.96295928955078,0.31947025656700134,175.8797212685656,5353.858207941055,102.00998065361303,0.08722853660583496,True,13778,246045,0.0012962050380638964,16,0.015786140054596606,1,1.0,1.0,3,0,0,21,35.7156336188126,6869,"[1.0, 6.0, 9.0, 13.0, 17.0, 22.0, 28.0, 34.0, 44.0, 62.0, 6869.0]",17.8578168094063,"[0.0, 1.0, 3.0, 4.0, 6.0, 8.0, 11.0, 14.0, 19.0, 29.0, 5684.0]",17.8578168094063,"[0.0, 2.0, 5.0, 7.0, 10.0, 13.0, 16.0, 20.0, 25.0, 36.0, 1185.0]",0,3.9793011572441914,-0.1235099856875314,7.871461750616925,"[0.0, 7.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 10.0, 16.0]",0.026621782164826368
FB15k237,0,TransE,betweenness,-0.1,0.5940300975690425,0.49178104845377874,0.4078220605258806,0.20588721680171987,0.33791717886924744,122.59600830078125,0.6214260501235439,0.508648076244264,0.408224496999647,0.16493116837274974,113.0766830444336,0.31883731484413147,159.8696283835771,5320.251690864563,90.49320121373887,0.08463239669799805,True,13054,241970,0.0014200628893545474,15,0.01591285044634824,1,1.0,1.0,3,0,0,21,37.07216178948981,6787,"[1.0, 7.0, 10.0, 14.0, 18.0, 23.0, 29.0, 35.0, 44.0, 64.0, 6787.0]",18.536080894744906,"[0.0, 1.0, 3.0, 5.0, 6.0, 9.0, 11.0, 15.0, 20.0, 29.0, 5668.0]",18.536080894744906,"[0.0, 3.0, 5.0, 8.0, 10.0, 14.0, 17.0, 20.0, 25.0, 36.0, 1119.0]",0,3.9222337122544957,-0.12612513514375742,7.345334763290945,"[0.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 9.0, 15.0]",0.02662920481927563
FB15k237,0,TransE,betweenness,-0.15,0.5967687074829932,0.49768707482993196,0.4098469387755102,0.21108843537414965,0.3419815003871918,121.4009017944336,0.6200141193081539,0.5131486057183198,0.4081803741616661,0.16722555594775856,112.85697937011719,0.3210690915584564,165.96965216698874,5001.427348136902,98.14656302965471,0.09218001365661621,True,12329,235123,0.0015469441558179755,14,0.015900303805757875,1,1.0,1.0,3,0,0,21,38.141455105848,6641,"[1.0, 8.0, 11.0, 15.0, 19.0, 24.0, 30.0, 36.0, 45.0, 65.0, 6641.0]",19.070727552924,"[0.0, 1.0, 3.0, 5.0, 7.0, 9.0, 12.0, 15.0, 20.0, 30.0, 5648.0]",19.070727552924,"[0.0, 3.0, 6.0, 8.0, 11.0, 14.0, 17.0, 21.0, 26.0, 37.0, 993.0]",0,3.883081085210557,-0.1338869934456371,7.317787330683753,"[0.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 9.0, 14.0]",0.026698194096498238
FB15k237,0,TransE,betweenness,-0.2,0.5971777919954503,0.4966766190374636,0.41014430937655505,0.2091419634605815,0.3407133221626282,120.88055419921875,0.6201464878220967,0.512972114366396,0.41188669255206495,0.166916696081892,115.05938720703125,0.32106634974479675,161.37452466437279,5051.75763630867,89.37289036503495,0.09403681755065918,True,11604,225340,0.001673633181495722,15,0.015552884761007408,1,1.0,1.0,3,0,0,21,38.838331609789726,6513,"[1.0, 8.0, 12.0, 16.0, 20.0, 25.0, 30.0, 36.0, 46.0, 65.0, 6513.0]",19.419165804894863,"[0.0, 2.0, 3.0, 5.0, 7.0, 9.0, 12.0, 15.0, 20.0, 30.0, 5599.0]",19.419165804894863,"[0.0, 4.0, 6.0, 9.0, 12.0, 14.0, 17.0, 21.0, 26.0, 38.0, 914.0]",0,3.849442270544838,-0.1406007143431343,7.413133402275077,"[0.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 9.0, 15.0]",0.027229727795582876
FB15k237,0,TransE,betweenness,0.01,0.6036204744069913,0.49639339714246083,0.4004485134322837,0.1775558329865446,0.32190579175949097,143.87220764160156,0.6240292975644194,0.5202082597952701,0.4149752912107307,0.17075538298623366,131.57763671875,0.3253415524959564,161.90874460550552,3953.332835674286,147.1011528298221,0.1134488582611084,True,13819,172145,0.0009015142748025825,24,0.0542656042012363,26,0.9967436138649686,0.9997792558598856,3,0,0,20,24.91424849844417,637,"[1.0, 3.0, 5.0, 8.0, 12.0, 17.0, 21.0, 27.0, 35.0, 51.0, 637.0]",12.457124249222085,"[0.0, 1.0, 2.0, 3.0, 5.0, 7.0, 10.0, 13.0, 17.0, 26.0, 637.0]",12.457124249222085,"[0.0, 1.0, 2.0, 4.0, 6.0, 8.0, 11.0, 14.0, 18.0, 26.0, 363.0]",0,4.936160166557053,-0.12714243541029246,12.428902236051814,"[0.0, 0.0, 13.0, 14.0, 14.0, 15.0, 15.0, 15.0, 15.0, 16.0, 24.0]",0.002798908614085268
FB15k237,0,TransE,betweenness,0.03,0.6125428603030638,0.5068853002986395,0.4069793164472957,0.17592080522066142,0.324090838432312,156.6299285888672,0.6305153547476173,0.5241793152135545,0.4187257324391105,0.17154959406989057,138.2816619873047,0.3272727131843567,169.13330147358434,3379.9948213100433,93.34372318576668,0.09259676933288574,True,13349,143824,0.0008071726389756945,25,0.06911348312129025,66,0.9855419881639074,0.9933738458115474,3,0,0,19,21.54828077009514,398,"[1.0, 3.0, 5.0, 8.0, 11.0, 14.0, 19.0, 23.0, 31.0, 46.0, 398.0]",10.77414038504757,"[0.0, 1.0, 2.0, 3.0, 4.0, 6.0, 9.0, 12.0, 16.0, 24.0, 388.0]",10.77414038504757,"[0.0, 1.0, 2.0, 3.0, 5.0, 7.0, 9.0, 12.0, 16.0, 24.0, 239.0]",0,5.260259329403556,-0.09879753356174774,12.429245636377257,"[0.0, 0.0, 13.0, 14.0, 14.0, 15.0, 15.0, 15.0, 16.0, 16.0, 25.0]",0.0019601449685187917
FB15k237,0,TransE,betweenness,0.05,0.6170842682622787,0.5149900274245824,0.4150461231613064,0.1781039640987285,0.32858574390411377,162.25448608398438,0.6299858806918461,0.5284151076597247,0.426314860571832,0.17605012354394634,139.99322509765625,0.33242088556289673,164.09869132777408,2999.105168581009,98.79018205620349,0.08604931831359863,True,12931,126572,0.0007570193943306562,26,0.07710610891808062,84,0.9835279560745496,0.9936873874158582,3,0,0,18,19.576521537390768,303,"[1.0, 2.0, 5.0, 7.0, 10.0, 13.0, 17.0, 22.0, 29.0, 42.0, 303.0]",9.788260768695384,"[0.0, 1.0, 1.0, 3.0, 4.0, 6.0, 8.0, 11.0, 14.0, 22.0, 299.0]",9.788260768695384,"[0.0, 1.0, 2.0, 3.0, 5.0, 6.0, 8.0, 11.0, 15.0, 22.0, 231.0]",0,5.514606575710671,-0.07225744133588184,12.524398731729951,"[0.0, 0.0, 13.0, 14.0, 14.0, 15.0, 15.0, 15.0, 16.0, 17.0, 26.0]",0.0016369197687767867
FB15k237,0,TransE,betweenness,0.1,0.6302852284146248,0.5283295972791219,0.42587153126690885,0.17797789286542476,0.3325696289539337,165.25442504882812,0.6386339569361101,0.5362689728203318,0.4319184609954112,0.18059477585598305,140.5682830810547,0.3368980884552002,151.14461126615947,2583.014422893524,87.74992472419308,0.09522724151611328,True,11930,101359,0.0007122260184718231,26,0.08680695213980824,108,0.9790444258172674,0.9946230724454661,3,0,0,17,16.992288348700754,236,"[1.0, 2.0, 4.0, 6.0, 9.0, 12.0, 15.0, 19.0, 25.0, 37.0, 236.0]",8.496144174350377,"[0.0, 1.0, 1.0, 2.0, 4.0, 5.0, 7.0, 9.0, 13.0, 19.0, 179.0]",8.496144174350377,"[0.0, 1.0, 1.0, 3.0, 4.0, 6.0, 7.0, 9.0, 13.0, 19.0, 122.0]",0,5.808653725305472,-0.05186164901916109,12.375440067057838,"[0.0, 0.0, 4.0, 14.0, 14.0, 15.0, 15.0, 16.0, 16.0, 17.0, 26.0]",0.0016161864634342575
FB15k237,0,TransE,degree,-0.05,0.5944775487610302,0.4936667643515353,0.40956009247500896,0.2063430041353261,0.3384948968887329,122.33871459960938,0.61100849649058,0.5204408324098018,0.4287033616549686,0.17153059967984238,145.58480834960938,0.32742366194725037,173.49763831667573,5444.308941602707,101.07577291109033,0.08690977096557617,True,13439,245776,0.0013609365601982913,15,0.015949635662009416,1,1.0,1.0,3,0,0,21,36.57653099188928,6851,"[1.0, 7.0, 10.0, 13.0, 18.0, 23.0, 28.0, 35.0, 44.0, 63.0, 6851.0]",18.28826549594464,"[0.0, 1.0, 3.0, 4.0, 6.0, 8.0, 11.0, 15.0, 19.0, 29.0, 5673.0]",18.28826549594464,"[0.0, 3.0, 5.0, 7.0, 10.0, 13.0, 16.0, 20.0, 25.0, 36.0, 1178.0]",0,3.978987224643705,-0.1255792593264705,7.424064290497805,"[0.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0, 9.0, 15.0]",0.026514368204406117
