dataset,c_split,model,property,value,results_hits_at_10,results_hits_at_5,results_hits_at_3,results_hits_at_1,results_inverse_harmonic_mean_rank,results_arithmetic_mean_rank,results_min_hits_at_10,results_min_hits_at_5,results_min_hits_at_3,results_min_hits_at_1,results_min_arithmetic_mean_rank,results_min_inverse_harmonic_mean_rank,training_cpu_energy,training_gpu_energy,training_ram_energy,training_duration,prediction_cpu_energy,prediction_gpu_energy,prediction_ram_energy,prediction_duration,evaluation_cpu_energy,evaluation_gpu_energy,evaluation_ram_energy,evaluation_duration,evaluation_min_cpu_energy,evaluation_min_gpu_energy,evaluation_min_ram_energy,evaluation_min_duration,directed,information_loss,original_average_pagerank,original_average_degree,original_average_betweenness,original_average_harmonic_centrality,average_harmonic_centrality,average_betweenness,average_pagerank,n_relationships,order,size,density,diameter,transitivity_undirected,connected_components_weak,connected_components_weak_relative_nodes,connected_components_weak_relative_arcs,girth,vertex_connectivity,edge_connectivity,clique_number,average_degree,max_degree,degree_deciles,average_indegree,indegree_deciles,average_outdegree,outdegree_deciles,radius,average_path_length,assortativity_degree,mean_eccentricity,min_eccentricity,max_eccentricity,eccentricity_deciles,centralization,motifs_randesu_no,num_farthest_points,mincut_value,len_feedback_arc_set,mean_authority_score,min_authority_score,max_authority_score,mean_hub_score,min_hub_score,max_hub_score,min_closeness,max_closeness,mean_closeness,min_constraint,max_constraint,mean_constraint,max_coreness,min_coreness,mean_coreness,max_strength,min_strength,mean_strength,entropy
Kinships,0,TransE,baseline,0.0,0.8933582787652011,0.755378858746492,0.5949485500467727,0.015902712815715623,0.3390692472457886,5.240411758422852,0.8933582787652011,0.755378858746492,0.5949485500467727,0.015902712815715623,5.240411758422852,0.3390692472457886,0.0032997097820043563,0.002328571307259608,2.1429528992491668e-05,105.58821892738342,0.0032997097820043563,0.002328571307259608,2.1429528992491668e-05,0.08263826370239258,0.0032997097820043563,0.002328571307259608,2.1429528992491668e-05,0.19333434104919434,0.0032997097820043563,0.002328571307259608,2.1429528992491668e-05,0.19353318214416504,True,0.9999999999999998,0.009615384615384612,164.3846153846154,2.173076923076923,0.9789021657953696,0.9789021657953696,20.807692307692307,0.009615384615384616,25,104,8548,0.79798356982823,2,0.9578803290561881,1,1.0,1.0,3,68,68,51,164.3846153846154,178,"[148.0, 156.0, 159.0, 162.0, 163.0, 164.0, 166.0, 168.0, 169.4, 172.7, 178.0]",82.1923076923077,"[68.0, 76.0, 79.0, 80.0, 82.0, 82.5, 83.0, 85.0, 86.0, 87.7, 92.0]",82.1923076923077,"[71.0, 78.0, 79.0, 80.0, 81.0, 82.0, 83.0, 84.0, 86.0, 87.0, 93.0]",2,1.20201643017177,-0.0008950608251804961,2.0,2.0,2.0,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",-0.7773394253300825,181137,3,68.0,4021,0.8939829820006295,0.7396250379173046,1.0,0.8789104361094519,0.7566809342567299,0.9999999999999999,0.9035087719298246,1.0,0.959873802776705,0.03902065737994872,0.03959365222396757,0.03924378785989705,148,148,148.0,178.0,148.0,164.3846153846154,4.23852330974442
Kinships,0,TransE,betweenness,0.01,0.875,0.721042471042471,0.5545366795366795,0.0111003861003861,0.3212248980998993,5.765443801879883,0.869,0.704,0.529,0.007,6.071000099182129,0.31004706025123596,0.002772949129343033,0.002015288834400053,1.7756732208676073e-05,88.73215627670288,0.002772949129343033,0.002015288834400053,1.7756732208676073e-05,0.09282588958740234,0.002772949129343033,0.002015288834400053,1.7756732208676073e-05,0.19496536254882812,0.002772949129343033,0.002015288834400053,1.7756732208676073e-05,0.1689445972442627,True,0.9794612932034101,0.009615384615384612,164.3846153846154,2.173076923076923,0.9789021657953696,0.9781595806639488,20.65686274509804,0.009803921568627449,25,102,8195,0.7954766064841778,2,0.9563341024927984,1,1.0,1.0,3,67,67,49,160.68627450980392,174,"[144.0, 153.0, 155.2, 158.0, 160.0, 161.0, 163.0, 164.0, 165.8, 167.9, 174.0]",80.34313725490196,"[67.0, 75.0, 77.0, 78.0, 80.0, 81.0, 81.0, 83.0, 84.0, 85.0, 90.0]",80.34313725490196,"[69.0, 76.0, 78.0, 79.0, 80.0, 80.0, 81.0, 82.0, 84.0, 85.0, 89.0]",2,1.2045233935158222,-0.0035009289334892433,2.0,2.0,2.0,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",-0.7744305571936776,170739,3,67.0,3862,0.8934933420567901,0.7460972798552877,1.0,0.9047299358776018,0.7746853279185918,0.9999999999999999,0.9017857142857143,1.0,0.9584988671257421,0.039802769336144864,0.04037929483569987,0.04001558298955325,144,144,144.0,174.0,144.0,160.68627450980392,4.237050435071695
Kinships,0,TransE,betweenness,0.03,0.8955223880597015,0.7557213930348259,0.5920398009950248,0.01691542288557214,0.33934345841407776,5.3641791343688965,0.897,0.756,0.584,0.013,5.566999912261963,0.3326314389705658,0.0031339210718870163,0.002316235464093097,2.029700410705232e-05,100.28468108177185,0.0031339210718870163,0.002316235464093097,2.029700410705232e-05,0.08630204200744629,0.0031339210718870163,0.002316235464093097,2.029700410705232e-05,0.19632554054260254,0.0031339210718870163,0.002316235464093097,2.029700410705232e-05,0.1672654151916504,True,0.9593218749569395,0.009615384615384612,164.3846153846154,2.173076923076923,0.9789021657953696,0.9777777777777777,20.429999999999996,0.01,25,100,7857,0.7936363636363636,2,0.955561726597265,1,1.0,1.0,3,66,66,48,157.14,170,"[141.0, 149.9, 152.0, 155.0, 156.0, 158.0, 159.0, 160.3, 161.2, 164.0, 170.0]",78.57,"[66.0, 72.9, 75.0, 77.0, 78.0, 79.0, 80.0, 81.0, 82.0, 83.0, 89.0]",78.57,"[67.0, 74.0, 76.0, 77.0, 78.0, 79.0, 79.0, 80.30000000000001, 82.0, 83.0, 87.0]",2,1.2063636363636363,-0.002102037874798697,2.0,2.0,2.0,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",-0.7721934143322352,160765,3,66.0,3689,0.8834283113520214,0.7427950194518428,1.0,0.9050797398746573,0.7756957981448107,0.9999999999999999,0.9,1.0,0.9578045593134048,0.04060653373117788,0.041192059472261094,0.040820925993688285,141,141,141.0,170.0,141.0,157.14,4.23942216171354
Kinships,0,TransE,betweenness,-0.05,0.9010810810810811,0.7572972972972973,0.5908108108108108,0.015675675675675675,0.3394663333892822,5.093513488769531,0.903,0.75,0.556,0.014,5.336999893188477,0.32578423619270325,0.0028363403230905536,0.002130909760353461,1.8128797338437154e-05,90.75992035865784,0.0028363403230905536,0.002130909760353461,1.8128797338437154e-05,0.09575176239013672,0.0028363403230905536,0.002130909760353461,1.8128797338437154e-05,0.18962502479553223,0.0028363403230905536,0.002130909760353461,1.8128797338437154e-05,0.16753196716308594,True,0.9461635748212835,0.009615384615384612,164.3846153846154,2.173076923076923,0.9789021657953696,0.9808541973490427,18.887755102040813,0.01020408163265306,25,98,7655,0.8052808752366927,2,0.9617211955195268,1,1.0,1.0,3,65,65,51,156.22448979591837,169,"[144.0, 150.0, 152.0, 153.0, 155.0, 156.0, 157.0, 159.0, 161.0, 163.3, 169.0]",78.11224489795919,"[65.0, 73.0, 74.4, 77.0, 78.0, 78.0, 79.0, 80.0, 82.0, 83.0, 87.0]",78.11224489795919,"[69.0, 74.0, 75.0, 76.0, 77.0, 78.0, 78.20000000000002, 80.0, 81.0, 83.0, 88.0]",2,1.1947191247633073,0.005155331603650088,2.0,2.0,2.0,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",-0.7834055951886437,151439,3,65.0,3608,0.8988713059181743,0.7466663952519714,1.0,0.882943770182458,0.7811977776055894,1.0,0.9150943396226415,1.0,0.9634496646441078,0.0413650514165369,0.041884887171891406,0.04160513442817054,144,144,144.0,169.0,144.0,156.22448979591837,4.233601979014445
Kinships,0,TransE,betweenness,0.05,0.9032753326509724,0.7666325486182191,0.5987717502558854,0.02047082906857728,0.3443886637687683,5.274820804595947,0.898,0.768,0.572,0.018,5.626999855041504,0.3346119821071625,0.002905999407172203,0.002038089686038802,1.8546128704296432e-05,92.990225315094,0.002905999407172203,0.002038089686038802,1.8546128704296432e-05,0.08785128593444824,0.002905999407172203,0.002038089686038802,1.8546128704296432e-05,0.19324874877929688,0.002905999407172203,0.002038089686038802,1.8546128704296432e-05,0.1637251377105713,True,0.9391816503584364,0.009615384615384612,164.3846153846154,2.173076923076923,0.9789021657953696,0.9772775089417213,20.21428571428571,0.01020408163265306,25,98,7525,0.7916053019145803,2,0.9545320065521248,1,1.0,1.0,3,64,64,46,153.57142857142858,167,"[137.0, 146.7, 149.0, 152.0, 153.0, 154.0, 156.0, 157.0, 158.0, 160.0, 167.0]",76.78571428571429,"[64.0, 71.0, 73.0, 76.0, 77.0, 77.0, 78.0, 79.0, 80.0, 81.0, 88.0]",76.78571428571429,"[65.0, 72.7, 74.0, 75.0, 76.0, 77.0, 77.20000000000002, 78.9, 80.0, 82.0, 86.0]",2,1.2083946980854197,-0.0006353225079945775,2.0,2.0,2.0,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",-0.7696142099251096,151183,3,64.0,3532,0.8730767169696597,0.7288047503927954,1.0,0.8938329665042843,0.7600366397419286,0.9999999999999999,0.8981481481481481,1.0,0.9568905620278967,0.04143136182278631,0.04204304662967824,0.04165847907718436,137,137,137.0,167.0,137.0,153.57142857142858,4.240986993650826
Kinships,0,TransE,betweenness,-0.1,0.908373786407767,0.7851941747572816,0.6134708737864077,0.01699029126213592,0.3487248718738556,5.020024299621582,0.894,0.768,0.568,0.018,5.47599983215332,0.3335530459880829,0.0028641762062907223,0.0020768972170799316,1.853912318484637e-05,91.65256643295288,0.0028641762062907223,0.0020768972170799316,1.853912318484637e-05,0.0828237533569336,0.0028641762062907223,0.0020768972170799316,1.853912318484637e-05,0.17458343505859375,0.0028641762062907223,0.0020768972170799316,1.853912318484637e-05,0.15871882438659668,True,0.8998768245710188,0.009615384615384612,164.3846153846154,2.173076923076923,0.9789021657953696,0.9823515661524076,17.569892473118276,0.01075268817204301,25,93,6922,0.8090229079008884,2,0.9646018676213637,1,1.0,1.0,3,62,62,49,148.86021505376345,161,"[136.0, 143.0, 144.0, 146.6, 147.8, 149.0, 150.0, 151.4, 153.0, 155.8, 161.0]",74.43010752688173,"[62.0, 69.0, 71.0, 73.0, 74.0, 75.0, 75.20000000000002, 76.0, 78.0, 79.8, 83.0]",74.43010752688173,"[65.0, 71.0, 72.0, 72.0, 73.80000000000001, 74.0, 75.0, 76.0, 77.60000000000001, 79.0, 84.0]",2,1.1909770920991118,0.002838876875436885,2.0,2.0,2.0,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",-0.7859874719589065,129309,3,62.0,3263,0.8978099509174184,0.7461587398479105,1.0,0.8819584595741766,0.7704088442989225,1.0,0.92,1.0,0.9661875943963705,0.043574625641608265,0.04415872279012958,0.04382743612625811,138,136,137.95698924731184,161.0,136.0,148.86021505376345,4.231992746655243
Kinships,0,TransE,betweenness,0.1,0.899108138238573,0.7480490523968785,0.5863991081382386,0.010033444816053512,0.3332802653312683,5.342809200286865,0.896,0.752,0.583,0.005,5.5980000495910645,0.325084924697876,0.0028322815820574763,0.0020898002829312645,1.8345266224923195e-05,90.63033723831177,0.0028322815820574763,0.0020898002829312645,1.8345266224923195e-05,0.08535408973693848,0.0028322815820574763,0.0020898002829312645,1.8345266224923195e-05,0.18047118186950684,0.0028322815820574763,0.0020898002829312645,1.8345266224923195e-05,0.15955662727355957,True,0.8891570741302562,0.009615384615384612,164.3846153846154,2.173076923076923,0.9789021657953696,0.9763908368396447,19.602150537634405,0.010752688172043012,25,93,6733,0.7869331463300607,2,0.9527573092464939,1,1.0,1.0,3,60,60,43,144.79569892473117,155,"[128.0, 138.0, 141.0, 143.0, 144.0, 146.0, 147.0, 148.0, 149.0, 150.0, 155.0]",72.39784946236558,"[61.0, 67.0, 69.0, 71.0, 72.0, 73.0, 74.0, 74.4, 75.0, 76.8, 82.0]",72.39784946236558,"[60.0, 68.0, 70.0, 71.0, 72.0, 73.0, 73.20000000000002, 74.0, 75.0, 77.0, 79.0]",2,1.2130668536699392,-0.0002879247355691662,2.0,2.0,2.0,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",-0.7641357673271488,128926,3,60.0,3155,0.8833577990071878,0.7450397250514876,1.0,0.9144325320350536,0.7603748754689417,1.0,0.8932038834951457,0.989247311827957,0.9553021839081355,0.043665021982206204,0.04430991856319894,0.04390829382193269,130,128,129.93548387096774,155.0,128.0,144.79569892473117,4.241753291960772
Kinships,0,TransE,betweenness,-0.15,0.9111570247933884,0.790633608815427,0.6308539944903582,0.01721763085399449,0.3523087203502655,5.011707782745361,0.909,0.782,0.615,0.018,5.186999797821045,0.34780025482177734,0.002799770876765251,0.0020178085586906036,1.8164208895203443e-05,89.59024167060852,0.002799770876765251,0.0020178085586906036,1.8164208895203443e-05,0.08421611785888672,0.002799770876765251,0.0020178085586906036,1.8164208895203443e-05,0.16762208938598633,0.002799770876765251,0.0020178085586906036,1.8164208895203443e-05,0.15394067764282227,True,0.8529917636191041,0.009615384615384612,164.3846153846154,2.173076923076923,0.9789021657953696,0.9830198537095088,16.443181818181817,0.011363636363636364,25,88,6209,0.8109979101358412,2,0.9659949417190994,1,1.0,1.0,3,58,58,48,141.11363636363637,152,"[129.0, 135.0, 136.4, 138.0, 139.0, 141.0, 143.0, 144.0, 146.0, 148.3, 152.0]",70.55681818181819,"[58.0, 66.0, 67.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.3, 79.0]",70.55681818181819,"[60.0, 67.0, 68.0, 68.10000000000001, 70.0, 70.0, 71.0, 72.0, 74.0, 75.0, 80.0]",2,1.189002089864159,0.0013280980710644922,2.0,2.0,2.0,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",-0.7867668019167643,109371,3,58.0,2929,0.8960059709274013,0.7336998679509675,1.0,0.8784050312468044,0.7488869687145121,1.0,0.9157894736842105,1.0,0.9674695281327979,0.046042023182778634,0.04670026593279798,0.0463151112015224,130,129,129.97727272727272,152.0,129.0,141.11363636363637,4.229178012480772
Kinships,0,TransE,betweenness,-0.2,0.9082278481012658,0.7950949367088608,0.6376582278481012,0.01977848101265823,0.35706883668899536,4.915743827819824,0.905,0.785,0.628,0.019,5.026500225067139,0.3526710867881775,0.0023477558866143227,0.0016796521770174877,1.5029412126262968e-05,75.1269690990448,0.0023477558866143227,0.0016796521770174877,1.5029412126262968e-05,0.09213423728942871,0.0023477558866143227,0.0016796521770174877,1.5029412126262968e-05,0.16701126098632812,0.0023477558866143227,0.0016796521770174877,1.5029412126262968e-05,0.15837931632995605,True,0.8066529351167658,0.009615384615384612,164.3846153846154,2.173076923076923,0.9789021657953696,0.9842785777255364,15.096385542168672,0.012048192771084338,25,83,5553,0.8158977372906259,2,0.9683901933407849,1,1.0,1.0,3,56,56,47,133.80722891566265,144,"[120.0, 128.0, 129.4, 131.0, 132.0, 133.0, 135.0, 137.0, 138.0, 140.8, 144.0]",66.90361445783132,"[56.0, 62.2, 64.0, 65.0, 66.80000000000001, 67.0, 68.0, 69.0, 70.0, 71.0, 75.0]",66.90361445783132,"[58.0, 62.2, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 76.0]",2,1.184102262709374,0.001350651196278898,2.0,2.0,2.0,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",-0.7902457572645327,91635,3,56.0,2611,0.8950673708806929,0.7456206552124255,1.0,0.8775685388244038,0.7609791793794362,1.0,0.9213483146067416,1.0,0.9697784531817835,0.04878988321001733,0.04955992992882385,0.049075460818754246,123,120,122.96385542168674,144.0,120.0,133.80722891566265,4.228613854642328
Kinships,0,TransE,degree,0.01,0.8901960784313725,0.736764705882353,0.5759803921568627,0.010294117647058823,0.32839319109916687,5.435294151306152,0.8916211293260473,0.7258652094717668,0.5537340619307832,0.01092896174863388,5.306921482086182,0.3227427303791046,0.003075016237795353,0.0022223267776553257,1.965057719038299e-05,98.39712762832642,0.003075016237795353,0.0022223267776553257,1.965057719038299e-05,0.09547162055969238,0.003075016237795353,0.0022223267776553257,1.965057719038299e-05,0.2020559310913086,0.003075016237795353,0.0022223267776553257,1.965057719038299e-05,0.17491793632507324,True,0.9692194688760386,0.009615384615384612,164.3846153846154,2.173076923076923,0.9789021657953696,0.9778217821782177,20.58415841584159,0.009900990099009901,25,101,8021,0.7941584158415842,2,0.955629926692351,1,1.0,1.0,3,66,66,48,158.83168316831683,170,"[143.0, 151.0, 154.0, 157.0, 158.0, 159.0, 161.0, 162.0, 164.0, 165.0, 170.0]",79.41584158415841,"[66.0, 74.0, 76.0, 77.0, 79.0, 80.0, 80.0, 82.0, 83.0, 84.0, 89.0]",79.41584158415841,"[68.0, 75.0, 77.0, 78.0, 79.0, 79.0, 80.0, 81.0, 83.0, 84.0, 87.0]",2,1.2058415841584158,-0.0039286110548651535,2.0,2.0,2.0,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",-0.7731541908539552,165695,3,66.0,3775,0.8932158906024537,0.7426738284437859,1.0,0.9101278096000365,0.7833176664421226,1.0,0.9009009009009009,1.0,0.9578751397551468,0.040205376737214214,0.04077177748682403,0.04041147713903886,143,143,143.0,170.0,143.0,158.83168316831683,4.237292647723476
